question_id,answer_category,issue_type,semantic_entropy,flip_rate,expected_verdict,majority_verdict,answer_type_ner,n_correct,n_incorrect,n_unsure,question,answer,ground_truth,context_preview,majority_rationale
odql_5758,correct,both,1.0386088352168543,0.5,CORRECT,UNSURE,OTHER,7,8,15,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,Squadron Leader,"The Royal Air Force (RAF) is the United Kingdom's aerial warfare force. Formed towards the end of the First World War on 1 April 1918, it is the oldest independent air force in the world. Following victory over the Central Powers in 1918 the RAF emerged as, at the time, the largest air force in the ","The passage does not mention the rank structure of the RAF or how it compares to the British Army, making it impossible to determine the correctness of the answer."
odql_5141,correct,both,0.6931471805599453,0.5,CORRECT,INCORRECT,LOCATION,0,15,15,Which is Britain's oldest cathedral?,CANTERBURY,CANTERBURY,"Roman Britain ( or, later, ', ""the Britains"") was the area of the island of Great Britain that was governed by the Roman Empire, from 43 to 410. Julius Caesar invaded Britain in 55 and 54 as part of his Gallic Wars. The Britons had been overrun or culturally assimilated by other Celtic tribes during",The provided context does not contain any information regarding Britain's oldest cathedral or specifically mention Canterbury.
sfq_14380,correct,both,0.6909233093138181,0.4666666666666667,CORRECT,UNSURE,PERSON,0,14,16,"In Greek mythology which of the Olympian gods was the goddess of fertility, agriculture, horticulture, grain and harvest?",Demeter,Demeter,"Greek mythology is the body of myths and teachings that belong to the ancient Greeks, concerning their gods and heroes, the nature of the world, and the origins and significance of their own cult and ritual practices. It was a part of the religion in ancient Greece. Modern scholars refer to and stud","The context does not explicitly mention Demeter or her associations with fertility, agriculture, horticulture, grain, and harvest, making it impossible to confirm the correctness of the answer."
bt_3259,correct,both,0.6842317651303003,0.43333333333333335,CORRECT,UNSURE,PERSON,13,0,17,In which Falklands engagement did Colonel H Jones win his VC,Goose Green,Goose Green,"The Falklands War (), also known as the Falklands Conflict, Falklands Crisis, and the Guerra del Atlántico Sur (Spanish for ""South Atlantic War""), was a ten-week war between Argentina and the United Kingdom over two British overseas territories in the South Atlantic: the Falkland Islands and South G","The context does not provide specific information about Colonel H Jones or the engagement at Goose Green, making it impossible to confirm the correctness of the answer."
qb_7060,correct,both,0.6842317651303003,0.43333333333333335,CORRECT,UNSURE,PERSON,0,13,17,Who became the host of the BBC Radio 1 weekday breakfast show in September 2012?,Nick Grimshaw,Nick Grimshaw,"BBC Radio 1 is a British radio station operated by the British Broadcasting Corporation which also broadcasts internationally, specialising in modern and current popular music and chart hits throughout the day. Radio 1 provides alternative genres after 7:00 pm, including electronic dance, hip hop, r","The provided context does not mention Nick Grimshaw or any details regarding the breakfast show host in September 2012, making it impossible to confirm the correctness of the answer."
bb_1788,correct,both,0.6571577614973405,0.36666666666666664,CORRECT,UNSURE,OTHER,0,11,19,What letter was added to Wii by Nintendo in 2011 when naming its next generation gaming console?,U,U,"is a Japanese multinational consumer electronics and software company headquartered in Kyoto, Japan. Nintendo is one of the world's largest video game companies by net worth. Founded on September 23, 1889, by Fusajiro Yamauchi, it originally produced handmade hanafuda playing cards. By 1963, the com","The context passage does not mention the addition of any letter to the Wii or the naming of a subsequent console, making it impossible to determine the correctness of the answer."
qw_14649,correct,both,0.6571577614973405,0.36666666666666664,CORRECT,INCORRECT,PERSON,0,19,11,"""In Australia, what is known as a """"Laughing Jackass""""?""",Kookaburra,Kookaburra,"Australia (,,), officially the Commonwealth of Australia, is a country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands. It is the world's sixth-largest country by total area. Neighbouring countries include Papua New Guinea, Indonesia and East","The provided context does not include any information about the Laughing Jackass or its identification as a Kookaburra, making the answer unsupported."
sfq_23895,correct,both,0.6365141682948128,0.3333333333333333,CORRECT,UNSURE,ORG,0,10,20,"What name was collectively given to the sons of Poseidon, who dwelt with him at the bottom of the sea?",Tritons,Tritons,"Poseidon (; Greek: ,) was one of the twelve Olympian deities of the pantheon in Greek mythology. His main domain was the ocean, and he is called the ""God of the Sea"". Additionally, he is referred to as ""Earth-Shaker"" due to his role in causing earthquakes, and has been called the ""tamer of horses"". ","The context passage does not mention Tritons or any other specific name for the sons of Poseidon, leaving the answer uncertain."
qw_66,correct,both,0.6108643020548935,0.3,CORRECT,INCORRECT,LOCATION,0,21,9,"What is the name of the international cricket ground in Brisbane, Australia?",The Gabba,The Gabba,"Brisbane is the capital and most populous city in the Australian state of Queensland, and the third most populous city in Australia. Brisbane's metropolitan area has a population of 2.3 million, ERP at 30 June 2014. and the South East Queensland urban conurbation, centred on Brisbane, encompasses a ","The provided context does not include any information about the Gabba or any cricket grounds in Brisbane, making the answer unsupported."
dpql_2596,correct,both,0.6108643020548935,0.3,CORRECT,INCORRECT,LOCATION,0,21,9,Which English town/city did the Romans call Dubris?,Dover,Dover,"Roman Britain ( or, later, ', ""the Britains"") was the area of the island of Great Britain that was governed by the Roman Empire, from 43 to 410. Julius Caesar invaded Britain in 55 and 54 as part of his Gallic Wars. The Britons had been overrun or culturally assimilated by other Celtic tribes during",The provided context does not include any information about the Roman name Dubris or its connection to the town of Dover.
