prompt_id,question_id,answer_category,n_trials,verdict_k,p_positive,p_negative,p_uncertain,majority_verdict,semantic_entropy,h_norm,active_clusters,flip_rate,spacy_label,evidence_present,question_length,context_length
P-CLEV,bb_3546,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,MONEY,True,33,1002
P-CLEV,bb_3546,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,MONEY,True,33,1002
P-CLEV,bb_3546,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,MONEY,True,33,1002
P-CLEV,bb_5774,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,False,12,2000
P-CLEV,bb_5774,correct,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,False,12,2000
P-CLEV,bb_5774,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,False,12,2000
P-CLEV,bb_6022,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,ORDINAL,True,8,1243
P-CLEV,bb_6022,correct,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,ORDINAL,True,8,1243
P-CLEV,bb_6022,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,ORDINAL,True,8,1243
P-CLEV,bb_614,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,PRODUCT,True,12,2000
P-CLEV,bb_614,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,PRODUCT,True,12,2000
P-CLEV,bb_614,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,PRODUCT,True,12,2000
P-CLEV,bb_8330,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,DATE,False,11,2000
P-CLEV,bb_8330,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,DATE,False,11,2000
P-CLEV,bb_8330,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,DATE,False,11,2000
P-CLEV,bb_914,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,GPE,True,21,2000
P-CLEV,bb_914,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,GPE,True,21,2000
P-CLEV,bb_914,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,GPE,True,21,2000
P-CLEV,bb_965,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,True,16,2000
P-CLEV,bb_965,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,FAC,True,16,2000
P-CLEV,bb_965,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,FAC,True,16,2000
P-CLEV,bt_2321,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,EVENT,True,12,1583
P-CLEV,bt_2321,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,EVENT,True,12,1583
P-CLEV,bt_2321,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,EVENT,True,12,1583
P-CLEV,dpql_1728,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,LAW,True,7,471
P-CLEV,dpql_1728,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,LAW,True,7,471
P-CLEV,dpql_1728,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,LAW,True,7,471
P-CLEV,dpql_4253,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,EVENT,True,9,1923
P-CLEV,dpql_4253,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,EVENT,True,9,1923
P-CLEV,dpql_4253,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,EVENT,True,9,1923
P-CLEV,dpql_4600,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,ORDINAL,True,11,2000
P-CLEV,dpql_4600,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,ORDINAL,True,11,2000
P-CLEV,dpql_4600,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,ORDINAL,True,11,2000
P-CLEV,jp_3011,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,LANGUAGE,True,8,2000
P-CLEV,jp_3011,correct,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,LANGUAGE,True,8,2000
P-CLEV,jp_3011,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,LANGUAGE,True,8,2000
P-CLEV,jp_3306,confusing_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,CARDINAL,True,9,2000
P-CLEV,jp_3306,correct,3,3,1.0,0.0,0.0,POSITIVE,-0.0,0.0,1,0.0,CARDINAL,True,9,2000
P-CLEV,jp_3306,obvious_wrong,3,3,0.0,1.0,0.0,NEGATIVE,-0.0,0.0,1,0.0,CARDINAL,True,9,2000
