question_id,answer_category,issue_type,semantic_entropy,flip_rate,majority_verdict,expected_verdict,answer_type_ner,n_correct,n_incorrect,n_unsure,question,answer,ground_truth,context_preview,rationale_CORRECT,rationale_INCORRECT,rationale_UNSURE
odql_5758,correct,both,1.0386088352168543,0.5,UNSURE,CORRECT,OTHER,7,8,15,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,Squadron Leader,"The Royal Air Force (RAF) is the United Kingdom's aerial warfare force. Formed towards the end of the First World War on 1 April 1918, it is the oldest independent air force in the world. Following victory over the Central Powers in 1918 the RAF emerged as, at the time, the largest air force in the ","The context indicates that the RAF has its own rank structure, and Squadron Leader is indeed the equivalent rank to Major in the British Army.","The context passage does not mention the rank structure of the RAF or its equivalence to ranks in the British Army, making it impossible to confirm the correctness of the answer.","The passage does not mention the rank structure of the RAF or how it compares to the British Army, making it impossible to determine the correctness of the answer."
odql_5120,correct,unstable_only,0.9097944822721153,0.36666666666666664,CORRECT,CORRECT,PERSON,19,6,5,Which 2004 film was released with the advertising tagline “A romantic comedy – with zombies!”?,Shaun of the Dead,Shaun of the Dead,"A zombie (Haitian French: zombi, Haitian Creole: zonbi) is a fictional undead being created through the reanimation of a human corpse. Zombies are most commonly found in horror and fantasy genre works. The term comes from Haitian folklore, where a zombie is a dead body reanimated through various met",The answer is correct as 'Shaun of the Dead' is indeed known for its tagline 'A romantic comedy – with zombies!' and fits the description provided.,"The provided context does not include any information about the film 'Shaun of the Dead' or its tagline, making it impossible to confirm the answer as correct.","The context does not provide any information about the film 'Shaun of the Dead' or its advertising tagline, so it is unclear whether the answer is correct."
odql_5141,correct,both,0.6931471805599453,0.5,INCORRECT,CORRECT,LOCATION,0,15,15,Which is Britain's oldest cathedral?,CANTERBURY,CANTERBURY,"Roman Britain ( or, later, ', ""the Britains"") was the area of the island of Great Britain that was governed by the Roman Empire, from 43 to 410. Julius Caesar invaded Britain in 55 and 54 as part of his Gallic Wars. The Britons had been overrun or culturally assimilated by other Celtic tribes during",,The provided context does not contain any information regarding Britain's oldest cathedral or specifically mention Canterbury.,"The context does not provide any information regarding the oldest cathedral in Britain, including whether it is Canterbury or not."
odql_872,obvious_wrong,unstable_only,0.6931471805599453,0.5,INCORRECT,INCORRECT,ORG,0,15,15,Scone Castle shares its grounds with which racecourse?,Not Fair,PERTH,"A scone is a single-serving quick bread. They are usually made of wheat, barley or oatmeal, with baking powder as a leavening agent, and are baked on sheet pans. They are often lightly sweetened and are occasionally glazed with egg wash.  The scone is a basic component of the cream tea or Devonshire",,"The provided context does not contain any information about Scone Castle or its association with a racecourse, making the answer unsupported.","The provided context does not contain any information regarding Scone Castle or its grounds, making it impossible to determine the correctness of the answer."
sfq_14380,correct,both,0.6909233093138181,0.4666666666666667,UNSURE,CORRECT,PERSON,0,14,16,"In Greek mythology which of the Olympian gods was the goddess of fertility, agriculture, horticulture, grain and harvest?",Demeter,Demeter,"Greek mythology is the body of myths and teachings that belong to the ancient Greeks, concerning their gods and heroes, the nature of the world, and the origins and significance of their own cult and ritual practices. It was a part of the religion in ancient Greece. Modern scholars refer to and stud",,"While Demeter is indeed the goddess of fertility and agriculture in Greek mythology, the provided context does not include any information about her or her attributes, making the answer unsupported.","The context does not explicitly mention Demeter or her associations with fertility, agriculture, horticulture, grain, and harvest, making it impossible to confirm the correctness of the answer."
qg_984,correct,unstable_only,0.6842317651303003,0.43333333333333335,CORRECT,CORRECT,PERSON,17,13,0,"Launched from the desert steppes of Kazakhstan, Vostok 1 was launched on April 12, 1961, carrying which man, the first in outer space?",Yuri Gagarin,Yuri Gagarin,"Russia (; ), also officially known as the Russian Federation (), is a sovereign state in northern Eurasia. At 17075200 km2, Russia is the largest country in the world, covering more than one eighth of Earth's inhabited land area, and the ninth most populous, with over 146.6 million people at the end","The context mentions significant technological achievements during the Soviet era, including the launching of the first humans in space, which supports the answer that Yuri Gagarin was the first man in outer space.","While the context mentions significant achievements in the Soviet era, it does not specifically state that Yuri Gagarin was the first man in outer space, nor does it provide details about Vostok 1 or its launch. Therefore, the answer cannot be confirmed as correct based on the provided context.",
qb_7060,correct,both,0.6842317651303003,0.43333333333333335,UNSURE,CORRECT,PERSON,0,13,17,Who became the host of the BBC Radio 1 weekday breakfast show in September 2012?,Nick Grimshaw,Nick Grimshaw,"BBC Radio 1 is a British radio station operated by the British Broadcasting Corporation which also broadcasts internationally, specialising in modern and current popular music and chart hits throughout the day. Radio 1 provides alternative genres after 7:00 pm, including electronic dance, hip hop, r",,"The context does not mention Nick Grimshaw as the host of the BBC Radio 1 weekday breakfast show in September 2012, nor does it provide any information about the breakfast show host during that time.","The provided context does not mention Nick Grimshaw or any details regarding the breakfast show host in September 2012, making it impossible to confirm the correctness of the answer."
bt_3259,correct,both,0.6842317651303003,0.43333333333333335,UNSURE,CORRECT,PERSON,13,0,17,In which Falklands engagement did Colonel H Jones win his VC,Goose Green,Goose Green,"The Falklands War (), also known as the Falklands Conflict, Falklands Crisis, and the Guerra del Atlántico Sur (Spanish for ""South Atlantic War""), was a ten-week war between Argentina and the United Kingdom over two British overseas territories in the South Atlantic: the Falkland Islands and South G","The context mentions the Argentine defeat at Goose Green, which is known to be the engagement where Colonel H Jones won his Victoria Cross (VC).",,"The context does not provide specific information about Colonel H Jones or the engagement at Goose Green, making it impossible to confirm the correctness of the answer."
qw_14649,correct,both,0.6571577614973405,0.36666666666666664,INCORRECT,CORRECT,PERSON,0,19,11,"""In Australia, what is known as a """"Laughing Jackass""""?""",Kookaburra,Kookaburra,"Australia (,,), officially the Commonwealth of Australia, is a country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands. It is the world's sixth-largest country by total area. Neighbouring countries include Papua New Guinea, Indonesia and East",,"The provided context does not include any information about the Laughing Jackass or its identification as a Kookaburra, making the answer unsupported.","The context does not provide any information about the term 'Laughing Jackass' or its relation to the Kookaburra, leaving the correctness of the answer uncertain."
bb_1788,correct,both,0.6571577614973405,0.36666666666666664,UNSURE,CORRECT,OTHER,0,11,19,What letter was added to Wii by Nintendo in 2011 when naming its next generation gaming console?,U,U,"is a Japanese multinational consumer electronics and software company headquartered in Kyoto, Japan. Nintendo is one of the world's largest video game companies by net worth. Founded on September 23, 1889, by Fusajiro Yamauchi, it originally produced handmade hanafuda playing cards. By 1963, the com",,"The answer states that the letter 'U' was added to Wii, which is correct, but it does not specify that the console was named 'Wii U'. The context confirms the name of the console as 'Wii U', making the answer incomplete.","The context passage does not mention the addition of any letter to the Wii or the naming of a subsequent console, making it impossible to determine the correctness of the answer."
