question_id,answer_category,semantic_entropy,normalized_entropy,active_clusters,flip_rate,majority_verdict,n_trials,p_correct,p_incorrect,p_unsure,answer_type_ner,question_length,context_length,expected_verdict,is_unstable,is_mismatch,issue_type
bb_1342,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,20,564,INCORRECT,False,False,stable_correct
bb_1342,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,ORG,20,564,CORRECT,False,False,stable_correct
bb_1342,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,20,564,INCORRECT,False,False,stable_correct
bb_1788,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,17,2000,INCORRECT,False,False,stable_correct
bb_1788,correct,0.6571577614973405,0.9480782435939054,2,0.36666666666666664,UNSURE,30,0.0,0.36666666666666664,0.6333333333333333,OTHER,17,2000,CORRECT,True,True,both
bb_1788,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,17,2000,INCORRECT,False,False,stable_correct
bb_1916,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,25,2000,INCORRECT,False,False,stable_correct
bb_1916,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,25,2000,CORRECT,False,False,stable_correct
bb_1916,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,25,2000,INCORRECT,False,False,stable_correct
bb_2192,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,5,2000,INCORRECT,False,False,stable_correct
bb_2192,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,PERSON,5,2000,CORRECT,False,False,stable_correct
bb_2192,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,5,2000,INCORRECT,False,False,stable_correct
bb_3592,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,9,2000,INCORRECT,False,False,stable_correct
bb_3592,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,9,2000,CORRECT,False,True,mismatch_only
bb_3592,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,9,2000,INCORRECT,False,False,stable_correct
bb_4263,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,1618,INCORRECT,False,False,stable_correct
bb_4263,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,6,1618,CORRECT,False,False,stable_correct
bb_4263,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,1618,INCORRECT,False,False,stable_correct
bb_4655,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,9,2000,INCORRECT,False,False,stable_correct
bb_4655,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,9,2000,CORRECT,False,True,mismatch_only
bb_4655,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,9,2000,INCORRECT,False,False,stable_correct
bb_4656,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,16,878,INCORRECT,False,False,stable_correct
bb_4656,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,PERSON,16,878,CORRECT,False,False,stable_correct
bb_4656,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,16,878,INCORRECT,False,False,stable_correct
bb_4900,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,18,2000,INCORRECT,False,False,stable_correct
bb_4900,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,18,2000,CORRECT,False,False,stable_correct
bb_4900,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,18,2000,INCORRECT,False,False,stable_correct
bb_5126,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000,INCORRECT,False,False,stable_correct
bb_5126,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,ORG,11,2000,CORRECT,False,False,stable_correct
bb_5126,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000,INCORRECT,False,False,stable_correct
bb_5364,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,24,1496,INCORRECT,False,False,stable_correct
bb_5364,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,DATE,24,1496,CORRECT,False,False,stable_correct
bb_5364,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,24,1496,INCORRECT,False,False,stable_correct
bb_5529,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,14,2000,INCORRECT,False,False,stable_correct
bb_5529,correct,-0.0,0.0,1,0.0,UNSURE,30,0.0,0.0,1.0,PERSON,14,2000,CORRECT,False,True,mismatch_only
bb_5529,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,14,2000,INCORRECT,False,False,stable_correct
bb_5740,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,21,2000,INCORRECT,False,False,stable_correct
bb_5740,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,DATE,21,2000,CORRECT,False,False,stable_correct
bb_5740,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,21,2000,INCORRECT,False,False,stable_correct
bb_5849,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000,INCORRECT,False,False,stable_correct
bb_5849,correct,-0.0,0.0,1,0.0,UNSURE,30,0.0,0.0,1.0,OTHER,11,2000,CORRECT,False,True,mismatch_only
bb_5849,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000,INCORRECT,False,False,stable_correct
bb_593,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000,INCORRECT,False,False,stable_correct
bb_593,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000,CORRECT,False,True,mismatch_only
bb_593,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000,INCORRECT,False,False,stable_correct
bb_6164,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,15,2000,INCORRECT,False,False,stable_correct
bb_6164,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,15,2000,CORRECT,False,False,stable_correct
bb_6164,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,15,2000,INCORRECT,False,False,stable_correct
bb_7425,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000,INCORRECT,False,False,stable_correct
bb_7425,correct,0.3250829733914482,0.46899559358928117,2,0.1,CORRECT,30,0.9,0.1,0.0,ORG,17,2000,CORRECT,True,False,unstable_only
bb_7425,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000,INCORRECT,False,False,stable_correct
bb_7860,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,13,2000,INCORRECT,False,False,stable_correct
bb_7860,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,13,2000,CORRECT,False,True,mismatch_only
bb_7860,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,13,2000,INCORRECT,False,False,stable_correct
bb_7936,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000,INCORRECT,False,False,stable_correct
bb_7936,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000,CORRECT,False,True,mismatch_only
bb_7936,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000,INCORRECT,False,False,stable_correct
bb_7979,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,12,2000,INCORRECT,False,False,stable_correct
bb_7979,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,OTHER,12,2000,CORRECT,False,False,stable_correct
bb_7979,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,12,2000,INCORRECT,False,False,stable_correct
bt_2111,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,2000,INCORRECT,False,False,stable_correct
bt_2111,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,6,2000,CORRECT,False,False,stable_correct
bt_2111,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,2000,INCORRECT,False,False,stable_correct
bt_239,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,9,2000,INCORRECT,False,False,stable_correct
bt_239,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,OTHER,9,2000,CORRECT,False,False,stable_correct
bt_239,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,9,2000,INCORRECT,False,False,stable_correct
bt_3054,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000,INCORRECT,False,False,stable_correct
bt_3054,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,ORG,11,2000,CORRECT,False,False,stable_correct
bt_3054,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000,INCORRECT,False,False,stable_correct
bt_3116,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,7,2000,INCORRECT,False,False,stable_correct
bt_3116,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,7,2000,CORRECT,False,False,stable_correct
bt_3116,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,7,2000,INCORRECT,False,False,stable_correct
bt_3162,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000,INCORRECT,False,False,stable_correct
bt_3162,correct,0.1461447460085638,0.21084230031853216,2,0.03333333333333333,UNSURE,30,0.0,0.03333333333333333,0.9666666666666667,ORG,11,2000,CORRECT,True,True,both
bt_3162,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000,INCORRECT,False,False,stable_correct
bt_3259,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,11,2000,INCORRECT,False,False,stable_correct
bt_3259,correct,0.6842317651303003,0.9871377743721862,2,0.43333333333333335,UNSURE,30,0.43333333333333335,0.0,0.5666666666666667,PERSON,11,2000,CORRECT,True,True,both
bt_3259,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,11,2000,INCORRECT,False,False,stable_correct
bt_3620,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,7,2000,INCORRECT,False,False,stable_correct
