question_id,answer_category,semantic_entropy,normalized_entropy,active_clusters,flip_rate,majority_verdict,n_trials,p_correct,p_incorrect,p_unsure,answer_type_ner,question_length,context_length
bb_1342,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,20,564
bb_1342,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,ORG,20,564
bb_1342,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,20,564
bb_1788,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,17,2000
bb_1788,correct,0.6571577614973405,0.9480782435939054,2,0.36666666666666664,UNSURE,30,0.0,0.36666666666666664,0.6333333333333333,OTHER,17,2000
bb_1788,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,17,2000
bb_1916,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,25,2000
bb_1916,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,25,2000
bb_1916,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,25,2000
bb_2192,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,5,2000
bb_2192,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,PERSON,5,2000
bb_2192,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,5,2000
bb_3592,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,9,2000
bb_3592,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,9,2000
bb_3592,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,9,2000
bb_4263,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,1618
bb_4263,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,6,1618
bb_4263,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,1618
bb_4655,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,9,2000
bb_4655,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,9,2000
bb_4655,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,9,2000
bb_4656,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,16,878
bb_4656,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,PERSON,16,878
bb_4656,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,16,878
bb_4900,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,18,2000
bb_4900,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,18,2000
bb_4900,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,18,2000
bb_5126,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000
bb_5126,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,ORG,11,2000
bb_5126,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000
bb_5364,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,24,1496
bb_5364,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,DATE,24,1496
bb_5364,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,24,1496
bb_5529,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,14,2000
bb_5529,correct,-0.0,0.0,1,0.0,UNSURE,30,0.0,0.0,1.0,PERSON,14,2000
bb_5529,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,PERSON,14,2000
bb_5740,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,21,2000
bb_5740,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,DATE,21,2000
bb_5740,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,DATE,21,2000
bb_5849,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000
bb_5849,correct,-0.0,0.0,1,0.0,UNSURE,30,0.0,0.0,1.0,OTHER,11,2000
bb_5849,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000
bb_593,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000
bb_593,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000
bb_593,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,11,2000
bb_6164,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,15,2000
bb_6164,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,15,2000
bb_6164,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,15,2000
bb_7425,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000
bb_7425,correct,0.3250829733914482,0.46899559358928117,2,0.1,CORRECT,30,0.9,0.1,0.0,ORG,17,2000
bb_7425,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000
bb_7860,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,13,2000
bb_7860,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,13,2000
bb_7860,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,13,2000
bb_7936,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000
bb_7936,correct,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000
bb_7936,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,17,2000
bb_7979,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,12,2000
bb_7979,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,OTHER,12,2000
bb_7979,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,12,2000
bt_2111,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,2000
bt_2111,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,LOCATION,6,2000
bt_2111,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,LOCATION,6,2000
bt_239,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,9,2000
bt_239,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,OTHER,9,2000
bt_239,obvious_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,OTHER,9,2000
bt_3054,confusing_wrong,-0.0,0.0,1,0.0,INCORRECT,30,0.0,1.0,0.0,ORG,11,2000
bt_3054,correct,-0.0,0.0,1,0.0,CORRECT,30,1.0,0.0,0.0,ORG,11,2000
